date; wpt; lat; lon; ele; id taxon; taxon; ident_quality; picture; number; habitat; accuracy; dop; comments; id site; site; id Field Worker 1; Field Worker 1 ; id Field Worker 2; Field Worker 2; Nb FW  
2010-09-29T09:14:28;quadrangle;41.5256507;-70.6727049;21.8;3585;Gleditsia triacanthos L.;sure;100929_photo_1.jpg;0;Antropogenic;49;1.29999995231628;meeting place ;0;;1922;MAYFIELD Mark;;;1
2010-09-29T09:41:12;;41.5266762;-70.6719913;12.7;2289;Solidago sempervirens L.;sure;100929_photo_1.jpg;0;Antropogenic;49;1;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T09:50:28;;41.526759;-70.6718299;15.4;5602;Digitaria sanguinalis (L.) Scop.;sure;100929_photo_2.jpg;100;Antropogenic;49;1;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T09:50:28;;41.526759;-70.6718299;15.4;6180;Symphyotrichum pilosum (Willd.) G. L. Nesom;sure;100929_photo_3.jpg;100;Antropogenic;49;1;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:10:18;;41.5281232;-70.6701331;19;2228;Ulex europaeus L.;sure;100929_photo_3.jpg;0;Antropogenic;49;1.10000002384186;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:20:46;;41.52843;-70.6706794;11.7;5554;Ampelopsis brevipedunculata (Maxim.) Trautv.;sure;100929_photo_3.jpg;10;Antropogenic;49;1.20000004768372;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:22:08;;41.5284995;-70.6706746;7.8;1522;Abutilon theophrasti Medik.;sure;100929_photo_4.jpg;0;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:23:23;;41.5284987;-70.6706728;18.5;3898;Rubus pensilvanicus Poir.;sure;100929_photo_4.jpg;0;Antropogenic;49;1;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:27:13;;41.5285219;-70.6706438;15.9;1190;Celastrus orbiculatus Thunb.;sure;100929_photo_4.jpg;2;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:27:13;;41.5285219;-70.6706438;15.9;1913;Impatiens capensis Meerb.;sure;100929_photo_4.jpg;100;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:27:13;;41.5285219;-70.6706438;15.9;375;Alnus incana (L.) Moench;sure;100929_photo_4.jpg;1;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:35:50;;41.5286798;-70.670982;12.4;2091;Lythrum salicaria L.;sure;100929_photo_4.jpg;100;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:35:50;;41.5286798;-70.670982;12.4;1251;Euthamia graminifolia (L.) Nutt.;sure;100929_photo_4.jpg;0;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:35:50;;41.5286798;-70.670982;12.4;695;Phragmites australis (Cav.) Trin. ex Steud.;sure;100929_photo_4.jpg;0;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:35:50;;41.5286798;-70.670982;12.4;6382;Symphyotrichum laeve (L.) Á. Löve & D. Löve;sure;100929_photo_4.jpg;0;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:35:50;;41.5286798;-70.670982;12.4;5247;Vitis aestivalis Michx.;sure;100929_photo_4.jpg;0;Antropogenic;49;1.29999995231628;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:48:17;;41.5286802;-70.6709862;10.1;;ulmus pumila;sure;100929_photo_4.jpg;1;Antropogenic;49;0.800000011920929;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:49:30;;41.5287042;-70.6709901;8.7;;unknown  ;sure;100929_photo_4.jpg;1;Antropogenic;49;0.800000011920929;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:52:42;;41.5286895;-70.6709743;;3717;Acer pseudoplatanus L.;sure;100929_photo_4.jpg;1;Antropogenic;49;0.800000011920929;rust fungus;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:59:19;;41.5286864;-70.6711083;8.4;2970;Cyperus esculentus L.;pas sure;100929_photo_6.jpg;100;Antropogenic;49;0.800000011920929;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T10:59:19;;41.5286864;-70.6711083;8.4;4129;Toxicodendron radicans (L.) Kuntze;pas sure;100929_photo_7.jpg;0;Antropogenic;49;0.800000011920929;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:06:48;;41.5286748;-70.6711035;7.1;910;Lactuca canadensis L.;pas sure;100929_photo_8.jpg;0;Antropogenic;49;1.10000002384186;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:06:48;;41.5286748;-70.6711035;7.1;3831;Juniperus virginiana L.;pas sure;100929_photo_9.jpg;0;Antropogenic;49;1.10000002384186;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;754;Myrica gale L.;pas sure;100929_photo_10.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;5678;Rosa multiflora Thunb.;pas sure;100929_photo_11.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;1421;Anthemis cotula L.;sure;100929_photo_12.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;1097;Baccharis halimifolia L.;sure;100929_photo_13.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;2289;Solidago sempervirens L.;sure;100929_photo_13.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;5768;Parthenocissus vitacea (Knerr) A. S. Hitchc.;sure;100929_photo_13.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;3222;Ligustrum obtusifolium Sieb. & Zucc.;pas sure;100929_photo_14.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:13:07;;41.5288139;-70.6713341;5.8;3275;Ligustrum vulgare L.;pas sure;100929_photo_15.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:26:12;;41.5291141;-70.67106;;6421;Spartina alterniflora Loisel.;pas sure;100929_photo_16.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:26:12;;41.5291141;-70.67106;;4935;Amelanchier nantucketensis E. P. Bicknell;pas sure;100929_photo_17.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
2010-09-29T11:26:12;;41.5291141;-70.67106;;375;Alnus incana (L.) Moench;sure;100929_photo_18.jpg;0;Antropogenic;49;0.899999976158142;;0;;1922;MAYFIELD Mark;;;1
